"Var1","Var2"
"1",10,3
"2",20,3
"3",30,3
"4",40,3
"5",50,3
"6",60,3
"7",70,3
"8",80,3
"9",90,3
"10",100,3
"11",10,6
"12",20,6
"13",30,6
"14",40,6
"15",50,6
"16",60,6
"17",70,6
"18",80,6
"19",90,6
"20",100,6
"21",10,9
"22",20,9
"23",30,9
"24",40,9
"25",50,9
"26",60,9
"27",70,9
"28",80,9
"29",90,9
"30",100,9
"31",10,12
"32",20,12
"33",30,12
"34",40,12
"35",50,12
"36",60,12
"37",70,12
"38",80,12
"39",90,12
"40",100,12
"41",10,15
"42",20,15
"43",30,15
"44",40,15
"45",50,15
"46",60,15
"47",70,15
"48",80,15
"49",90,15
"50",100,15
"51",10,18
"52",20,18
"53",30,18
"54",40,18
"55",50,18
"56",60,18
"57",70,18
"58",80,18
"59",90,18
"60",100,18
"61",10,21
"62",20,21
"63",30,21
"64",40,21
"65",50,21
"66",60,21
"67",70,21
"68",80,21
"69",90,21
"70",100,21
"71",10,24
"72",20,24
"73",30,24
"74",40,24
"75",50,24
"76",60,24
"77",70,24
"78",80,24
"79",90,24
"80",100,24
"81",10,27
"82",20,27
"83",30,27
"84",40,27
"85",50,27
"86",60,27
"87",70,27
"88",80,27
"89",90,27
"90",100,27
"91",10,30
"92",20,30
"93",30,30
"94",40,30
"95",50,30
"96",60,30
"97",70,30
"98",80,30
"99",90,30
"100",100,30
