"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,22,3,7,13,79,37,3,20,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,10,8,6,15,89,49,7,52,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,4,5,7,14,87,64,14,74,0,0,0,0,1,0,0,0,0,0,0,0
"4",0,0,5,0,14,79,56,5,90,0,0,0,5,8,5,0,0,0,0,0,0
"5",0,0,2,1,4,61,44,6,88,0,0,1,5,25,6,0,0,0,0,0,0
"6",0,0,0,1,4,33,38,7,89,0,0,0,5,25,12,1,0,0,0,0,0
"7",0,0,0,1,4,12,19,3,55,0,0,1,7,42,25,1,3,0,1,0,0
"8",0,0,0,0,0,2,8,5,38,0,0,0,8,54,48,2,4,0,4,0,0
"9",0,0,0,0,0,0,3,0,24,0,1,0,7,51,70,4,9,0,3,0,0
"10",0,0,0,0,0,0,0,0,4,0,0,0,8,51,95,3,10,0,6,0,0
"11",0,20,15,4,19,81,34,2,30,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,10,9,4,11,96,62,5,58,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,1,11,8,24,87,53,9,87,0,0,0,1,1,0,0,0,0,0,0,0
"14",0,0,8,1,20,77,55,8,117,0,0,0,3,3,2,0,0,0,0,0,0
"15",0,0,3,0,9,63,50,6,87,0,0,0,5,19,6,0,0,0,0,0,0
"16",0,0,0,0,2,30,35,8,86,0,0,0,3,22,16,1,0,0,0,0,0
"17",0,0,0,0,3,16,12,7,59,0,1,0,8,46,38,0,1,0,0,0,0
"18",0,0,0,0,1,1,8,3,36,0,0,0,13,50,53,4,2,0,1,0,0
"19",0,0,0,0,0,2,2,1,18,0,0,0,15,43,84,8,5,0,8,0,0
"20",0,0,0,0,0,0,0,1,4,0,0,0,16,47,75,2,5,0,16,0,0
"21",0,11,16,4,21,86,43,4,33,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,5,13,6,21,79,45,3,66,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,1,8,2,6,100,58,7,71,0,0,0,0,1,0,0,0,0,0,0,0
"24",0,0,3,2,25,81,49,9,96,0,0,0,5,5,2,0,0,0,0,0,0
"25",0,0,2,2,13,64,52,6,95,0,0,0,7,18,4,0,0,0,0,0,0
"26",0,0,0,0,3,31,32,13,82,0,0,0,11,22,20,0,0,0,0,0,0
"27",0,0,0,0,1,21,16,6,71,0,0,0,13,32,34,1,2,0,1,0,0
"28",0,0,0,0,0,4,16,4,35,0,0,0,24,39,58,6,3,0,5,0,0
"29",0,0,0,0,0,0,2,0,18,0,0,0,24,25,80,3,5,0,7,0,0
"30",0,0,0,0,0,0,0,0,3,0,0,0,10,42,81,4,8,0,11,0,0
"31",1,18,21,5,26,82,26,5,33,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,2,18,5,23,82,53,6,50,0,0,0,1,0,0,0,0,0,0,0,0
"33",0,0,7,5,28,78,61,12,87,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,9,1,22,83,64,6,81,0,2,0,2,5,1,0,0,0,0,0,0
"35",0,0,2,1,10,49,38,8,87,0,0,0,8,11,6,0,0,0,0,0,0
"36",0,0,0,1,6,39,25,6,65,0,0,0,10,22,25,0,1,0,0,0,0
"37",0,0,0,0,0,15,18,6,84,0,0,0,16,37,36,2,1,0,0,0,0
"38",0,0,0,0,1,4,4,1,39,0,0,0,19,45,69,3,4,0,1,0,0
"39",0,0,0,0,0,1,1,0,30,0,0,0,20,29,82,4,4,0,9,0,0
"40",0,0,0,0,0,0,0,0,4,0,0,0,18,34,90,2,3,0,12,0,0
"41",0,8,18,6,29,60,47,8,28,0,1,0,0,0,0,0,0,0,0,0,0
"42",0,6,22,2,20,90,48,9,55,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,1,13,2,15,104,55,14,64,0,1,0,2,0,0,0,0,0,0,0,0
"44",0,0,8,1,15,100,53,9,92,0,0,0,6,5,1,0,0,0,0,0,0
"45",0,0,2,0,21,52,49,10,59,0,0,0,8,9,6,1,0,0,0,0,0
"46",0,0,0,2,11,30,32,5,71,0,0,0,17,16,22,0,0,0,0,0,0
"47",0,0,0,0,3,14,21,4,56,0,0,0,18,20,47,0,0,0,0,0,0
"48",0,0,0,0,1,7,8,2,42,0,0,0,26,25,53,3,1,0,1,0,0
"49",0,0,0,0,0,0,2,0,14,0,1,0,22,26,77,3,1,0,5,1,1
"50",0,0,0,0,0,0,0,0,6,0,0,0,20,30,105,1,2,0,12,1,0
"51",0,9,25,7,25,89,41,5,19,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,1,20,2,34,94,35,4,37,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,2,21,4,20,90,52,11,53,0,0,0,3,1,0,0,0,0,0,0,0
"54",0,0,9,2,19,74,42,5,65,0,0,0,3,4,1,0,0,0,0,0,0
"55",0,0,4,2,10,50,56,13,72,0,1,0,18,8,11,0,1,0,0,0,0
"56",0,0,0,0,5,40,37,8,68,0,1,0,18,19,21,0,0,0,0,0,0
"57",0,0,0,0,4,21,19,6,51,0,3,0,36,26,41,1,0,0,3,0,0
"58",0,0,0,0,0,5,8,1,38,0,2,0,24,20,57,0,2,0,5,0,0
"59",0,0,0,0,0,3,0,0,14,0,0,0,28,32,87,1,0,0,14,0,0
"60",0,0,0,0,0,0,0,0,5,0,0,0,20,18,104,2,3,0,19,0,0
"61",0,12,34,5,31,59,35,11,15,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,1,28,3,27,85,49,8,36,0,1,0,0,0,0,0,0,0,0,0,0
"63",0,1,15,3,22,91,46,16,54,0,0,0,1,2,0,0,0,0,0,0,0
"64",0,0,12,1,13,82,34,11,58,0,0,0,11,1,1,0,0,0,0,0,0
"65",0,0,2,1,15,55,33,9,68,0,1,0,11,5,8,0,0,0,0,0,0
"66",0,0,1,0,5,29,28,11,64,0,1,0,30,6,13,0,0,0,0,0,0
"67",0,0,0,0,3,10,18,4,45,0,0,0,29,20,39,1,0,0,0,0,0
"68",0,0,0,0,0,3,9,1,26,0,0,0,39,23,70,0,0,0,3,0,0
"69",0,0,0,0,0,0,3,0,14,0,1,0,32,21,76,3,1,0,7,1,0
"70",0,0,0,0,0,0,0,0,3,0,0,0,34,16,87,1,0,1,25,0,2
"71",0,7,28,2,20,81,40,2,20,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,29,1,32,84,36,6,36,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,20,7,24,78,45,5,49,0,1,0,3,0,0,0,0,0,0,0,0
"74",0,0,12,5,24,82,40,10,54,0,3,0,14,2,0,0,0,0,0,0,0
"75",0,0,3,0,10,49,39,11,50,1,1,0,12,2,6,0,0,0,0,0,0
"76",0,0,4,0,6,46,33,8,43,1,3,0,36,4,23,0,0,0,0,0,0
"77",0,0,0,0,2,14,20,8,47,0,1,0,35,10,39,0,0,0,1,0,0
"78",0,0,0,0,0,6,8,1,24,1,1,0,41,20,59,0,0,0,4,0,0
"79",0,0,0,0,0,1,0,0,8,0,0,0,42,9,78,1,0,1,17,0,0
"80",0,0,0,0,0,0,0,0,4,0,0,0,24,12,79,0,0,1,21,1,0
